Gene_Id,Hugo_Symbol,my_Id
10158,PDZK1IP1,7938
10159,ATP6AP2,7939
1016,CDH18,841
10160,FARP1,7940
10162,LPCAT3,7942
10163,WASF2,7943
10164,CHST4,7944
10165,SLC25A13,7945
10166,SLC25A15,7946
10168,ZNF197,7948
10169,SERF2,7949
1017,CDK2,842
10170,DHRS9,7950
10171,RCL1,7951
10172,ZNF256,7952
10174,SORBS3,7953
10175,CNIH1,7954
10178,TENM1,7955
10179,RBM7,7956
1018,CDK3,843
10180,RBM6,7957
10181,RBM5,7958
10184,LHFPL2,7959
10186,LHFPL6,7960
10188,TNK2,7962
10189,ALYREF,7963
1019,CDK4,844
10190,TXNDC9,7964
101928120,LOC101928120,39993
101928527,PIGBOS1,40239
101928991,CCDC92B,40470
10193,RNF41,7965
10194,TSHZ1,7966
10195,ALG3,7967
10196,PRMT3,7968
10197,PSME3,7969
10198,MPHOSPH9,7970
10199,MPHOSPH10,7971
102,ADAM10,85
1020,CDK5,845
10200,MPHOSPH6,7972
10201,NME6,7973
10202,DHRS2,7974
10203,CALCRL,7975
10204,NUTF2,7976
10205,MPZL2,7977
10206,TRIM13,7978
10207,PATJ,7979
10209,EIF1,7981
1021,CDK6,846
10210,TOPORS,7982
10211,FLOT1,7983
10212,DDX39A,7984
10213,PSMD14,7985
10215,OLIG2,7987
102157402,AK6,41017
10216,PRG4,7988
10217,CTDSPL,7989
1022,CDK7,847
10221,TRIB1,7993
10223,GPA33,7994
10225,CD96,7996
10226,PLIN3,7997
10227,MFSD10,7998
10228,STX6,7999
102288414,C11orf98,41024
10229,COQ7,8000
10231,RCAN2,8002
10232,MSLN,8003
10233,LRRC23,8004
10234,LRRC17,8005
10235,RASGRP2,8006
10236,HNRNPR,8007
10237,SLC35B1,8008
10238,DCAF7,8009
10239,AP3S2,8010
1024,CDK8,848
10240,MRPS31,8011
10241,CALCOCO2,8012
10243,GPHN,8014
10244,RABEPK,8015
10245,TIMM17B,8016
10247,RIDA,8018
10248,POP7,8019
10249,GLYAT,8020
1025,CDK9,849
10250,SRRM1,8021
10251,SPRY3,8022
10252,SPRY1,8023
10253,SPRY2,8024
10254,STAM2,8025
10256,CNKSR1,8027
10257,ABCC4,8028
1026,CDKN1A,850
10260,DENND4A,8029
10261,IGSF6,8030
10262,SF3B4,8031
10265,IRX5,8033
10266,RAMP2,8034
10267,RAMP1,8035
10268,RAMP3,8036
10269,ZMPSTE24,8037
1027,CDKN1B,851
10270,AKAP8,8038
10272,FSTL3,8039
102723553,LOC102723553,41540
102723631,CT45A10,41575
102724023,LOC102724023,41741
102724197,LOC102724197,41810
102724428,LOC102724428,41896
102724473,GAGE10,41917
102724560,LOC102724560,41957
102724594,LOC102724594,41971
102724971,LOC102724971,42136
102725101,LOC102725101,42159
10273,STUB1,8040
10274,STAG1,8041
10276,NET1,8042
10277,UBE4B,8043
10278,EFS,8044
1028,CDKN1C,852
10280,SIGMAR1,8046
102800317,TPTEP2-CSNK1E,42192
10282,BET1,8048
10283,CWC27,8049
10284,SAP18,8050
10285,SMNDC1,8051
10286,BCAS2,8052
10287,RGS19,8053
10288,LILRB2,8054
10289,EIF1B,8055
1029,CDKN2A,853
10290,SPEG,8056
10291,SF3A1,8057
10293,TRAIP,8058
10294,DNAJA2,8059
10295,BCKDK,8060
10296,MAEA,8061
10297,APC2,8062
10298,PAK4,8063
10299,MARCHF6,8064
103,ADAR,86
1030,CDKN2B,854
10300,KATNB1,8065
10302,SNAPC5,8067
10308,ZNF267,8071
1031,CDKN2C,855
10311,VPS26C,8073
10312,TCIRG1,8074
10313,RTN3,8075
10314,LANCL1,8076
10317,B3GALT5,8078
10318,TNIP1,8079
10319,LAMC3,8080
1032,CDKN2D,856
10320,IKZF1,8081
10321,CRISP3,8082
10322,SMYD5,8083
10324,KLHL41,8084
10325,RRAGB,8085
10326,SIRPB1,8086
10327,AKR1A1,8087
10328,EMC8,8088
10329,RXYLT1,8089
1033,CDKN3,857
10330,CNPY2,8090
10331,B3GNT3,8091
10332,CLEC4M,8092
10335,IRAG1,8094
10336,PCGF3,8095
10342,TFG,8100
10343,PKDREJ,8101
10344,CCL26,8102
10345,TRDN,8103
10346,TRIM22,8104
10347,ABCA7,8105
10349,ABCA10,8106
10350,ABCA9,8107
10351,ABCA8,8108
10352,WARS2,8109
1036,CDO1,858
10360,NPM3,8114
10361,NPM2,8115
10362,HMG20B,8116
10363,HMG20A,8117
10367,MICU1,8119
10368,CACNG3,8120
10369,CACNG2,8121
10370,CITED2,8122
10371,SEMA3A,8123
10376,TUBA1B,8124
10379,IRF9,8125
10380,BPNT1,8126
10381,TUBB3,8127
10382,TUBB4A,8128
10383,TUBB4B,8129
10384,BTN3A3,8130
10388,SYCP2,8133
10389,SCML2,8134
1039,CDR2,860
10390,CEPT1,8135
10391,CORO2B,8136
103910,MYL12B,16944
10392,NOD1,8137
10393,ANAPC10,8138
10394,PRG3,8139
10395,DLC1,8140
10396,ATP8A1,8141
10397,NDRG1,8142
10398,MYL9,8143
10399,RACK1,8144
104,ADARB1,87
1040,CDS1,861
10400,PEMT,8145
10401,PIAS3,8146
10402,ST3GAL6,8147
10403,NDC80,8148
10404,CPQ,8149
10406,WFDC2,8150
10409,BASP1,8153
1041,CDSN,862
10410,IFITM3,8154
10411,RAPGEF3,8155
10412,NSA2,8156
10413,YAP1,8157
10417,SPON2,8159
10418,SPON1,8160
10419,PRMT5,8161
10420,TESK2,8162
10421,CD2BP2,8163
10422,UBAC1,8164
10423,CDIPT,8165
10424,PGRMC2,8166
10425,ARIH2,8167
10426,TUBGCP3,8168
10427,SEC24B,8169
10428,CFDP1,8170
10430,TMEM147,8171
10432,RBM14,8172
10434,LYPLA1,8173
10435,CDC42EP2,8174
10436,EMG1,8175
10437,IFI30,8176
10438,C1D,8177
10439,OLFM1,8178
1044,CDX1,864
10440,TIMM17A,8179
10443,N4BP2L2,8180
10444,ZER1,8181
10445,MCRS1,8182
10447,FAM3C,8184
10449,ACAA2,8185
1045,CDX2,865
10450,PPIE,8186
10451,VAV3,8187
10452,TOMM40,8188
10454,TAB1,8189
10455,ECI2,8190
10456,HAX1,8191
10457,GPNMB,8192
10458,BAIAP2,8193
10459,MAD2L2,8194
10460,TACC3,8195
10461,MERTK,8196
10463,SLC30A9,8198
10464,PIBF1,8199
10465,PPIH,8200
10466,COG5,8201
10467,ZNHIT1,8202
10468,FST,8203
10469,TIMM44,8204
1047,CLGN,867
10471,PFDN6,8205
10472,ZBTB18,8206
10473,HMGN4,8207
10474,TADA3,8208
10475,TRIM38,8209
10476,ATP5PD,8210
10477,UBE2E3,8211
10478,SLC25A17,8212
10479,SLC9A6,8213
1048,CEACAM5,868
10480,EIF3M,8214
10481,HOXB13,8215
10482,NXF1,8216
10483,SEC23B,8217
10484,SEC23A,8218
10486,CAP2,8220
10487,CAP1,8221
10489,LRRC41,8223
10490,VTI1B,8224
10491,CRTAP,8225
10492,SYNCRIP,8226
10493,VAT1,8227
10494,STK25,8228
10495,ENOX2,8229
10497,UNC13B,8230
10498,CARM1,8231
10499,NCOA2,8232
105,ADARB2,88
1050,CEBPA,869
10501,SEMA6B,8234
10505,SEMA4F,8235
10507,SEMA4D,8236
10509,SEMA4B,8237
1051,CEBPB,870
10512,SEMA3C,8238
10513,APPBP2,8239
10514,MYBBP1A,8240
10516,FBLN5,8241
10517,FBXW10,8242
10519,CIB1,8244
1052,CEBPD,871
10520,ZNF211,8245
10521,DDX17,8246
10522,DEAF1,8247
10523,CHERP,8248
10524,KAT5,8249
10525,HYOU1,8250
10526,IPO8,8251
10527,IPO7,8252
10528,NOP56,8253
10529,NEBL,8254
1053,CEBPE,872
10531,PITRM1,8255
10533,ATG7,8256
10534,ZNRD2,8257
10535,RNASEH2A,8258
10536,P3H3,8259
10537,UBD,8260
105371267,LOC105371267,43667
105373377,PNMA6F,44876
105375355,UPK3B,46092
105378803,LRRC53,48164
10539,GLRX3,8262
1054,CEBPG,873
10540,DCTN2,8263
10541,ANP32B,8264
10542,LAMTOR5,8265
10544,PROCR,8266
10548,TM9SF1,8268
10549,PRDX4,8269
10550,ARL6IP5,8270
10551,AGR2,8271
10552,ARPC1A,8272
10553,HTATIP2,8273
10554,AGPAT1,8274
10555,AGPAT2,8275
10556,RPP30,8276
10557,RPP38,8277
10558,SPTLC1,8278
10559,SLC35A1,8279
1056,CEL,875
10560,SLC19A2,8280
10561,IFI44,8281
10562,OLFM4,8282
10563,CXCL13,8283
10564,ARFGEF2,8284
10565,ARFGEF1,8285
10567,RABAC1,8287
10568,SLC34A2,8288
10569,SLU7,8289
10570,DPYSL4,8290
10572,SIVA1,8291
10573,MRPL28,8292
10574,CCT7,8293
10575,CCT4,8294
10576,CCT2,8295
10577,NPC2,8296
10578,GNLY,8297
10579,TACC2,8298
10580,SORBS1,8299
10581,IFITM2,8300
10584,COLEC10,8301
10585,POMT1,8302
10586,MAB21L2,8303
10587,TXNRD2,8304
10588,MTHFS,8305
10589,DRAP1,8306
1059,CENPB,878
10590,SCGN,8307
10591,DNPH1,8308
10592,SMC2,8309
10594,PRPF8,8310
10595,ERN2,8311
10598,AHSA1,8313
1060,CENPC,879
10600,USP16,8315
10602,CDC42EP3,8316
10603,SH2B2,8317
10605,PAIP1,8318
10606,PAICS,8319
10607,TBL3,8320
10608,MXD4,8321
10609,P3H4,8322
10610,ST6GALNAC2,8323
10611,PDLIM5,8324
10612,TRIM3,8325
10613,ERLIN1,8326
10614,HEXIM1,8327
10615,SPAG5,8328
10616,RBCK1,8329
10617,STAMBP,8330
10618,TGOLN2,8331
1062,CENPE,881
10620,ARID3B,8332
10621,POLR3F,8333
10622,POLR3G,8334
10623,POLR3C,8335
10625,IVNS1ABP,8336
10626,TRIM16,8337
10627,MYL12A,8338
10628,TXNIP,8339
10629,TAF6L,8340
1063,CENPF,882
10630,PDPN,8341
10631,POSTN,8342
10632,ATP5MG,8343
10633,RASL10A,8344
10634,GAS2L1,8345
10635,RAD51AP1,8346
10636,RGS14,8347
10637,LEFTY1,8348
10640,EXOC5,8350
10641,NPRL2,8351
10642,IGF2BP1,8352
10643,IGF2BP3,8353
10644,IGF2BP2,8354
10645,CAMKK2,8355
10647,SCGB1D2,8356
10648,SCGB1D1,8357
10650,PRELID3A,8358
10651,MTX2,8359
10652,YKT6,8360
10653,SPINT2,8361
10654,PMVK,8362
10656,KHDRBS3,8364
10657,KHDRBS1,8365
10658,CELF1,8366
10659,CELF2,8367
1066,CES1,883
10661,KLF1,8369
10664,CTCF,8371
10667,FARS2,8374
10668,CGRRF1,8375
10669,CGREF1,8376
10670,RRAGA,8377
10671,DCTN6,8378
10672,GNA13,8379
10673,TNFSF13B,8380
10675,CSPG5,8382
10677,AVIL,8383
10678,B3GNT2,8384
10681,GNB5,8385
10682,EBP,8386
106821730,BUB1B-PAK6,52041
10683,DLL3,8387
10686,CLDN16,8388
106865373,GET1-SH3BGR,52046
10687,PNMA2,8389
1069,CETN2,885
10690,FUT9,8391
10691,GMEB1,8392
10693,CCT6B,8394
10694,CCT8,8395
10695,CNPY3,8396
107,ADCY1,90
1070,CETN3,886
107075310,MTCO2P12,52301
1071,CETP,887
10712,ENTREP3,8398
10713,USP39,8399
10714,POLD3,8400
10715,CERS1,8401
10716,TBR1,8402
10717,AP4B1,8403
1072,CFL1,888
10720,UGT2B11,8405
10721,POLQ,8406
10723,SLC12A7,8407
10724,OGA,8408
10725,NFAT5,8409
10726,NUDC,8410
10728,PTGES3,8411
107282092,BOLA2-SMG1P6,52477
1073,CFL2,889
10730,YME1L1,8412
107303344,SETDB2-PHF11,52485
10733,PLK4,8414
10734,STAG3,8415
10735,STAG2,8416
10736,SIX2,8417
10741,RBBP9,8422
10742,RAI2,8423
10743,RAI1,8424
10746,MAP3K2,8427
10747,MASP2,8428
10749,KIF1C,8430
1075,CTSC,891
10750,GRAP,8431
10752,CHL1,8433
10753,CAPN9,8434
10755,GIPC1,8435
10758,TRAF3IP2,8436
10762,NUP50,8438
10763,NES,8439
10765,KDM5B,8440
10766,TOB2,8441
10767,HBS1L,8442
10768,AHCYL1,8443
10769,PLK2,8444
10771,ZMYND11,8445
10772,SRSF10,8446
10775,POP4,8449
10776,ARPP19,8450
10777,ARPP21,8451
10782,ZNF274,8455
10783,NEK6,8456
10785,WDR4,8457
10787,NCKAP1,8459
10788,IQGAP2,8460
10791,VAMP5,8463
10793,ZNF273,8464
10794,ZNF460,8465
10795,ZNF268,8466
10797,MTHFD2,8467
10799,RPP40,8469
108,ADCY2,91
1080,CFTR,892
10801,SEPTIN9,8471
10802,SEC24A,8472
10804,GJB6,8474
10806,SDCCAG8,8475
10807,ENTR1,8476
10808,HSPH1,8477
10809,STARD10,8478
1081,CGA,893
10810,WASF3,8479
10811,NOXA1,8480
10813,UTP14A,8481
10814,CPLX2,8482
10815,CPLX1,8483
10817,FRS3,8485
10818,FRS2,8486
1082,CGB3,894
10825,NEU3,8493
10827,FAM114A2,8495
10838,ZNF275,8505
10840,ALDH1L1,8506
10841,FTCD,8507
10842,PPP1R17,8508
10844,TUBGCP2,8509
10845,CLPX,8510
10846,PDE10A,8511
10847,SRCAP,8512
10848,PPP1R13L,8513
10849,POLR1G,8514
10855,HPSE,8516
10856,RUVBL2,8517
10857,PGRMC1,8518
10858,CYP46A1,8519
10859,LILRB1,8520
10863,ADAM28,8522
10865,ARID5A,8524
10867,TSPAN9,8526
10868,USP20,8527
10869,USP19,8528
1087,CEACAM7,899
10870,HCST,8529
10873,ME3,8531
10875,FGL2,8533
10877,CFHR4,8535
10878,CFHR3,8536
1088,CEACAM8,900
10882,C1QL1,8540
10884,MRPS30,8541
10885,WDR3,8542
10890,RAB10,8546
10892,MALT1,8548
10893,MMP24,8549
10894,LYVE1,8550
10897,YIF1A,8552
10898,CPSF4,8553
10899,JTB,8554
109,ADCY3,92
10900,RUNDC3A,8555
10901,DHRS4,8556
