protein,ensembl,gene,Leader_protein
CD305-Ab,ENSG00000167613,LAIR1,NA
CD307c/FcRL3-Ab,ENSG00000160856,FCRL3,NA
CD307d-Ab,ENSG00000163518,FCRL4,NA
CD307e-Ab,ENSG00000143297,FCRL5,NA
CD31-Ab,ENSG00000261371,PECAM1,ADT-CD31
CD314-Ab,ENSG00000213809,KLRK1,ADT-NKG2D
CD319-Ab,ENSG00000026751,SLAMF7,NA
CD324-Ab,ENSG00000039068,CDH1,NA
CD325-Ab,ENSG00000170558,CDH2,NA
CD335-Ab,ENSG00000189430,NCR1,NA
CD337-Ab,ENSG00000204475,NCR3,NA
CD338-Ab,ENSG00000118777,ABCG2,NA
CD34-Ab,ENSG00000174059,CD34,ADT-CD34
CD340-Ab,ENSG00000141736,ERBB2,NA
CD35-Ab,ENSG00000203710,CR1,NA
CD354-Ab,ENSG00000124731,TREM1,NA
CD357-Ab,ENSG00000186891,TNFRSF18,NA
CD36-Ab,ENSG00000135218,CD36,NA
CD366-Ab,ENSG00000135077,HAVCR2,NA
CD370-Ab,ENSG00000197992,CLEC9A,ADT-CLEC9A
CD38-1-Ab,ENSG00000004468,CD38,ADT-CD38
CD38-2-Ab,ENSG00000004468,CD38,ADT-CD38
CD39-Ab,ENSG00000138185,ENTPD1,ADT-CD39
CD4-1-Ab,ENSG00000010610,CD4,ADT-CD4
CD4-2-Ab,ENSG00000010610,CD4,ADT-CD4
CD40-Ab,ENSG00000101017,CD40,ADT-CD40
CD41-Ab,ENSG00000005961,ITGA2B,NA
CD43-Ab,ENSG00000197471,SPN,NA
CD44-1-Ab,ENSG00000026508,CD44,ADT-CD44
CD44-2-Ab,ENSG00000026508,CD44,ADT-CD44
CD45-1-Ab,ENSG00000081237,PTPRC,ADT-CD45
CD45-2-Ab,ENSG00000081237,PTPRC,ADT-CD45
CD45RA-Ab,ENSG00000081237,PTPRC,ADT-CD45RA
CD45RB-Ab,ENSG00000081237,PTPRC,NA
CD45RO-Ab,ENSG00000081237,PTPRC,NA
CD46-Ab,ENSG00000117335,CD46,NA
CD47-Ab,ENSG00000196776,CD47,NA
CD48-Ab,ENSG00000117091,CD48,NA
CD49a-Ab,ENSG00000213949,ITGA1,NA
CD49b-Ab,ENSG00000164171,ITGA2,NA
CD49d-Ab,ENSG00000115232,ITGA4,NA
CD52-Ab,ENSG00000169442,CD52,NA
CD54-Ab,ENSG00000090339,ICAM1,ADT-CD54
CD55-Ab,ENSG00000196352,CD55,NA
CD56-1-Ab,ENSG00000149294,NCAM1,ADT-CD56
CD56-2-Ab,ENSG00000149294,NCAM1,ADT-CD56
CD57-Ab,ENSG00000109956,B3GAT1,ADT-CD57
CD59-Ab,ENSG00000085063,CD59,NA
CD61-Ab,ENSG00000259207,ITGB3,NA
CD62P-Ab,ENSG00000174175,SELP,NA
CD63-Ab,ENSG00000135404,CD63,NA
CD64-Ab,ENSG00000150337,FCGR1A,ADT-CD64
CD66a/c/e-Ab,ENSG00000079385,CEACAM1,NA
CD68-Ab,ENSG00000129226,CD68,NA
CD69-Ab,ENSG00000110848,CD69,ADT-CD69
CD70-Ab,ENSG00000125726,CD70,NA
CD71-Ab,ENSG00000072274,TFRC,NA
CD72-Ab,ENSG00000137101,CD72,NA
CD73-Ab,ENSG00000135318,NT5E,NA
CD79a-Ab,ENSG00000105369,CD79A,NA
CD79b-Ab,ENSG00000007312,CD79B,NA
CD8-Ab,ENSG00000153563,CD8A,ADT-CD8
CD80-Ab,ENSG00000121594,CD80,NA
CD81-Ab,ENSG00000110651,CD81,NA
CD83-Ab,ENSG00000112149,CD83,NA
CD85g-Ab,ENSG00000239961,LILRA4,NA
CD86-Ab,ENSG00000114013,CD86,ADT-CD86
CD8a-Ab,ENSG00000153563,CD8A,ADT-CD8
CD9-Ab,ENSG00000010278,CD9,ADT-CD9
CD93-Ab,ENSG00000125810,CD93,NA
CD95-Ab,ENSG00000026103,FAS,NA
CD96-Ab,ENSG00000153283,CD96,NA
CD98-Ab,ENSG00000168003,SLC3A2,NA
CD99-Ab,ENSG00000002586,CD99,NA
CLEC12A-Ab,ENSG00000172322,CLEC12A,NA
CLEC2-Ab,ENSG00000165682,CLEC1B,NA
CX3CR1-Ab,ENSG00000168329,CX3CR1,NA
Folate-Ab,ENSG00000165457,FOLR2,NA
Galectin-9-Ab,ENSG00000171916,LGALS9C,NA
GP130-Ab,ENSG00000134352,IL6ST,NA
HLA-DR-Ab,ENSG00000204287,HLA-DRA,ADT-HLADR
IgD-Ab,ENSG00000211898,IGHD,ADT-IGD
IgM-Ab,ENSG00000211899,IGHM,NA
Integrin-7-Ab,"ENSMUSG00000001281, ENSG00000139626",ITGB7,NA
LOX-1-Ab,ENSG00000173391,OLR1,NA
MERTK-Ab,ENSG00000153208,MERTK,NA
Notch-1-Ab,ENSG00000148400,NOTCH1,NA
Notch-2-Ab,ENSG00000074181,NOTCH3,NA
TIGIT-Ab,ENSG00000181847,TIGIT,ADT-TIGIT
TIM-4-Ab,ENSG00000145850,TIMD4,NA
TSLPR-Ab,ENSG00000205755,CRLF2,NA
VEGFR-3-Ab,ENSG00000037280,FLT4,NA
XCR1-Ab,ENSG00000173578,XCR1,ADT-XCR1
