epoch,gex2adt,gex2gex,lr,step,train_loss,val_gex2adt,val_loss
0,,,,21,,11897.01171875,11897.314453125
1,,,,43,,11588.125,11588.412109375
2,11111.1875,0.2900997996330261,0.009999999776482582,49,11111.4775390625,,
2,,,,65,,11275.623046875,11275.9052734375
3,,,,87,,11051.98828125,11052.2705078125
4,11153.5732421875,0.28501084446907043,0.009999999776482582,99,11153.8583984375,,
4,,,,109,,10780.9267578125,10781.2080078125
5,,,,131,,10556.5966796875,10556.8779296875
6,12673.068359375,0.2870258390903473,0.009999999776482582,149,12673.35546875,,
6,,,,153,,10360.1728515625,10360.455078125
7,,,,175,,10162.173828125,10162.45703125
8,,,,197,,10012.0224609375,10012.3056640625
9,9510.9765625,0.28188252449035645,0.009999999776482582,199,9511.2587890625,,
9,,,,219,,9863.5263671875,9863.80859375
10,,,,241,,9688.90625,9689.1875
11,12295.0810546875,0.2843264937400818,0.009999999776482582,249,12295.365234375,,
11,,,,263,,9524.9775390625,9525.2607421875
12,,,,285,,9416.3779296875,9416.671875
13,13758.4169921875,0.2802971303462982,0.009999999776482582,299,13758.697265625,,
13,,,,307,,9280.779296875,9281.060546875
14,,,,329,,9154.16796875,9154.4482421875
15,7880.115234375,0.2774922847747803,0.009999999776482582,349,7880.392578125,,
15,,,,351,,9034.4326171875,9034.712890625
16,,,,373,,8938.8818359375,8939.1630859375
17,,,,395,,8820.8935546875,8821.1728515625
18,10307.4052734375,0.28259995579719543,0.009999999776482582,399,10307.6875,,
18,,,,417,,8727.0888671875,8727.3662109375
19,,,,439,,8606.013671875,8606.2919921875
20,10853.591796875,0.283814936876297,0.009999999776482582,449,10853.8759765625,,
20,,,,461,,8515.2001953125,8515.4765625
21,,,,483,,8416.56640625,8416.845703125
22,8214.7705078125,0.27405765652656555,0.009999999776482582,499,8215.044921875,,
22,,,,505,,8332.8115234375,8333.08984375
23,,,,527,,8242.91796875,8243.1953125
24,7317.0146484375,0.2779143154621124,0.009999999776482582,549,7317.29248046875,,
24,,,,549,,8152.056640625,8152.33251953125
25,,,,571,,8122.44970703125,8122.7265625
26,,,,593,,8014.42138671875,8014.6982421875
27,10088.1279296875,0.2764623165130615,0.009999999776482582,599,10088.404296875,,
27,,,,615,,7921.556640625,7921.83251953125
28,,,,637,,7850.97021484375,7851.24609375
29,7035.22900390625,0.2772280275821686,0.009999999776482582,649,7035.50634765625,,
29,,,,659,,7816.49951171875,7816.77734375
30,,,,681,,7725.21875,7725.49609375
31,8503.1845703125,0.2777329683303833,0.009999999776482582,699,8503.4619140625,,
31,,,,703,,7620.1005859375,7620.37744140625
32,,,,725,,7588.8447265625,7589.11962890625
33,,,,747,,7534.5537109375,7534.82861328125
34,7100.6015625,0.2801337242126465,0.009999999776482582,749,7100.8818359375,,
34,,,,769,,7474.8359375,7475.11083984375
35,,,,791,,7425.81640625,7426.0927734375
36,6466.56787109375,0.28262853622436523,0.009999999776482582,799,6466.8505859375,,
36,,,,813,,7392.263671875,7392.53857421875
37,,,,835,,7383.0595703125,7383.3388671875
38,6265.40576171875,0.2738178074359894,0.009999999776482582,849,6265.6796875,,
38,,,,857,,7242.1572265625,7242.43310546875
39,,,,879,,7211.27978515625,7211.5546875
